# Ancla de regresión: espesor de momento de estela vs difusión equivalente.
# Correlación de Lieblein (1959), fit clásico theta/c = 0.0045/(1 - 0.95·ln(Deq)),
# según NASA SP-36 cap. VII y Aungier, 'Axial-Flow Compressors' (2003).
# Generado por data_pipeline.build(); verificado por validate.py.
Deq,theta_over_c
1,0.0045
1.05,0.00471872
1.1,0.00494802
1.15,0.00518896
1.2,0.00544271
1.25,0.00571056
1.3,0.00599397
1.35,0.00629458
1.4,0.00661423
1.45,0.00695502
1.5,0.00731936
1.55,0.00771
1.6,0.00813013
1.65,0.00858347
1.7,0.00907435
1.75,0.00960789
1.8,0.0101902
1.85,0.0108284
1.9,0.0115314
1.95,0.0123098
2,0.0131768
2.05,0.0141486
2.1,0.015246
2.15,0.0164953
2.2,0.0179308
